ID,SR,NR,TR,VR,SUR1,SUR2,SUR3,UR,FR,OR,RR,BR,MR,CR,Green frogs,Brown frogs,Common toad,Fire-bellied toad,Tree frog,Common newt,target
1,600,1,1,4,6,2,10,0,0,50,0,0,0,1,0,0,0,0,0,0,0
2,700,1,5,1,10,6,10,3,1,75,1,1,0,1,0,1,1,0,0,1,0
3,200,1,5,1,10,6,10,3,4,75,1,1,0,1,0,1,1,0,0,1,0
4,300,1,5,0,6,10,2,3,4,25,0,0,0,1,0,0,1,0,0,0,0
5,600,2,1,4,10,2,6,0,0,99,0,5,0,1,0,1,1,1,0,1,1
6,200,1,5,1,6,6,10,1,0,50,0,0,0,1,0,0,0,0,0,0,0
7,500,1,5,0,6,6,10,1,2,25,0,0,0,2,0,0,1,0,0,0,0
8,700,1,5,2,10,6,9,0,0,100,1,1,0,1,1,1,0,1,0,0,0
9,750,2,5,1,6,1,2,0,1,50,1,0,0,1,0,1,1,0,0,0,0
10,200,1,12,4,2,7,6,0,0,75,1,0,0,1,0,1,1,0,0,0,0
11,200,1,1,4,2,7,1,0,0,100,2,1,0,1,1,0,0,0,0,0,0
12,300,1,14,2,1,2,7,0,0,100,2,1,0,1,0,1,1,0,0,0,0
13,7000,1,1,1,2,6,10,3,3,50,1,5,0,1,1,0,1,0,0,0,0
14,1700,1,1,1,2,6,10,0,1,100,2,2,2,1,1,1,1,0,0,0,0
15,8000,1,1,3,2,10,7,0,0,100,9,9,0,1,0,1,1,0,0,0,0
16,30000,1,1,3,1,1,1,0,0,100,2,10,0,1,1,1,1,1,1,0,0
17,300,1,12,4,1,1,1,0,0,100,5,10,0,1,0,1,1,0,1,0,0
18,300,1,15,1,1,1,9,0,0,75,0,5,0,1,0,1,1,0,0,0,0
19,1600,3,1,0,2,6,2,3,1,75,2,1,0,1,1,1,1,1,0,0,0
20,3800,6,1,2,6,6,2,3,1,25,0,0,0,1,1,0,1,0,1,0,0
21,7000,6,1,1,6,10,2,3,4,50,0,0,0,1,1,0,1,0,0,0,0
22,2500,1,1,3,10,2,6,0,1,100,0,1,0,1,1,0,1,0,0,1,0
23,800,1,1,0,1,2,7,3,4,100,2,1,0,1,0,1,1,0,0,0,0
24,1700,1,1,3,10,6,2,0,0,100,0,0,0,1,0,1,1,0,0,0,0
25,300,1,1,2,7,2,10,0,0,100,5,5,2,1,1,0,0,0,0,1,0
26,4500,1,1,1,2,2,9,3,2,100,9,9,0,1,1,1,1,0,1,0,0
27,1000,1,12,4,2,2,1,0,0,100,5,9,0,1,0,1,0,0,0,0,0
28,7000,1,1,4,2,2,1,0,0,100,5,5,0,1,0,0,0,1,1,0,1
29,30000,1,1,3,2,2,1,1,0,100,5,5,0,1,1,1,1,0,0,1,1
30,7000,1,1,3,2,2,7,0,0,100,0,1,0,1,0,1,1,0,1,0,0
31,3300,1,1,3,2,1,7,0,0,100,5,5,0,1,0,1,0,0,1,0,0
32,2100,1,1,3,2,9,2,0,0,50,0,1,0,1,0,0,0,0,1,0,0
33,500,1,1,0,2,10,6,3,4,100,2,1,0,1,1,1,0,0,0,0,0
34,400,2,1,2,2,10,10,0,0,100,1,5,0,1,0,1,0,0,0,0,0
35,300,1,1,1,2,10,10,0,0,100,2,2,0,1,0,1,1,0,0,0,0
36,1100,1,1,0,2,6,10,3,4,100,2,2,0,1,0,1,1,0,0,0,0
37,1000,1,1,2,2,10,6,0,0,100,1,1,0,1,0,0,0,1,0,0,0
38,400,1,5,1,6,2,10,1,0,75,2,0,0,1,0,0,1,0,1,0,1
39,100,1,1,2,2,6,10,0,0,100,1,1,0,1,0,1,0,0,0,0,0
40,100,1,5,1,7,2,6,3,0,100,2,1,0,1,1,0,0,0,0,0,0
41,80000,1,12,4,2,2,7,0,0,100,5,5,0,1,1,0,0,1,1,0,0
42,200,1,12,4,2,2,7,0,0,100,5,5,0,1,0,0,1,1,1,0,0
43,100,1,11,4,2,6,7,0,0,100,5,5,0,1,0,0,1,0,1,0,0
44,2500,1,1,3,7,2,9,0,0,75,0,2,0,1,0,1,0,0,0,0,0
45,31000,6,1,0,2,7,6,3,4,100,5,5,0,1,1,1,1,0,0,0,0
46,500,1,12,4,2,7,2,0,0,100,5,5,0,1,1,1,1,1,1,0,0
47,25000,5,1,0,2,9,7,3,4,75,0,0,0,1,1,0,0,1,0,0,0
48,40000,1,1,1,2,2,6,3,2,100,5,0,0,1,1,1,0,1,0,1,0
49,1900,7,12,4,2,6,7,0,0,100,5,5,0,1,1,1,0,0,1,1,0
50,30,1,1,2,2,7,6,0,0,75,0,1,0,1,0,1,1,0,0,1,0
51,4300,1,1,3,1,2,2,0,0,100,5,5,0,1,1,1,1,0,1,0,1
52,4000,1,1,3,1,1,2,0,0,100,5,5,0,1,1,1,1,0,0,0,0
53,300,1,1,4,1,2,6,0,0,99,2,2,0,1,0,1,0,0,0,0,0
54,400,1,1,2,1,7,6,0,0,100,0,1,0,1,0,1,0,0,0,1,0
55,1000,1,1,1,2,2,1,0,0,100,5,5,0,1,1,1,1,1,1,1,0
56,1500,2,2,2,7,2,6,1,2,100,5,0,0,1,0,1,1,0,0,0,0
57,300,1,14,3,7,2,1,0,0,100,5,5,0,1,1,1,1,0,1,1,0
58,600,1,1,2,7,1,10,0,0,100,2,2,0,1,0,0,0,0,1,0,0
59,28300,4,1,1,2,7,6,3,2,100,0,0,0,1,1,1,1,1,0,0,0
60,1000,1,1,0,1,6,7,3,3,75,0,0,0,1,1,0,1,0,0,0,0
61,50,1,1,2,2,7,10,0,0,100,5,5,0,1,1,1,1,1,0,0,0
62,9000,2,2,0,10,1,7,1,2,100,1,1,0,1,1,0,1,0,0,0,0
63,19300,2,1,1,2,6,1,3,3,75,2,0,0,1,1,1,1,1,1,0,0
64,100,1,1,4,2,9,1,0,0,100,1,2,0,1,1,0,1,0,0,0,0
65,3500,1,2,0,6,9,2,0,0,50,0,0,0,1,1,1,1,0,0,0,0
66,300,1,12,3,7,2,1,0,0,100,5,5,0,1,1,1,0,0,0,0,0
67,100,1,12,4,7,2,1,0,0,100,5,5,0,1,0,1,0,0,0,0,0
68,200,1,12,4,7,2,6,0,0,100,0,0,0,1,0,1,0,0,0,0,0
69,300,1,12,4,2,2,7,0,0,100,2,5,0,1,0,1,0,0,0,0,0
70,300,1,11,3,7,1,1,0,0,100,10,10,0,1,1,1,1,0,1,0,0
71,300,1,11,3,1,2,10,0,0,100,10,10,0,1,1,1,0,1,0,0,0
72,300,1,14,3,7,2,1,0,0,100,5,5,0,1,1,1,1,0,0,0,0
73,1000,1,1,2,2,7,9,0,0,75,0,0,0,1,0,0,1,0,0,0,0
74,9100,1,1,0,7,10,2,3,3,100,5,5,0,1,1,0,0,0,0,0,0
75,100,1,11,4,1,10,2,0,0,100,10,10,0,1,1,1,1,0,1,0,0
76,100,1,1,2,2,7,6,0,0,100,2,2,2,1,1,0,0,0,0,0,0
77,300,1,1,3,2,2,1,0,0,100,5,1,0,1,0,0,0,1,1,0,0
78,500,2,1,0,2,9,1,3,3,100,1,2,0,1,0,0,1,0,0,0,0
79,1000,1,1,3,2,1,9,0,0,100,2,5,0,1,0,0,0,0,1,0,0
80,500,1,12,4,7,1,1,0,0,100,10,10,0,1,1,0,1,0,0,1,0
81,600,2,1,1,1,10,6,3,1,100,1,0,0,1,1,1,1,0,1,1,1
82,1300,1,1,0,1,10,6,3,1,100,1,1,0,1,0,1,1,0,0,0,0
83,2000,3,1,4,10,10,11,0,0,100,5,5,0,1,0,1,1,0,0,0,0
84,300,1,15,2,2,11,6,0,0,100,2,5,0,1,0,1,1,0,1,0,0
85,10050,1,1,2,1,10,6,0,1,100,5,5,0,1,0,1,1,1,0,1,1
86,9000,3,1,2,10,10,10,0,1,100,9,9,0,1,1,1,1,0,1,0,0
87,300,1,15,3,10,10,10,0,0,100,9,9,0,1,0,1,1,0,1,0,0
88,300,1,14,1,2,10,10,0,0,100,5,5,0,1,0,1,1,0,1,0,0
89,3500,1,1,2,7,6,1,0,0,100,2,2,0,1,1,1,1,1,0,1,0
90,300,1,15,0,2,9,7,0,0,100,1,1,0,1,1,0,0,0,0,0,0
91,16000,4,1,2,7,9,2,0,2,100,1,5,0,1,1,1,1,1,0,1,0
92,500,1,14,1,14,1,6,0,0,100,2,2,0,1,1,1,1,1,0,1,0
93,3500,1,1,3,7,1,2,0,0,100,2,2,0,1,1,1,1,0,0,1,0
94,300,1,15,1,1,7,2,0,0,100,5,5,0,1,1,1,0,1,0,1,0
95,5000,1,1,0,1,10,2,3,2,100,5,5,0,1,1,1,1,1,0,1,0
96,10000,1,1,3,1,10,6,0,1,100,5,5,0,1,1,1,1,1,1,1,1
97,10000,4,1,0,10,2,6,0,1,75,0,0,0,1,0,1,1,0,1,0,0
98,29000,3,1,2,10,6,1,3,3,100,2,0,0,1,1,1,1,1,1,1,1
99,8250,1,1,3,6,2,10,0,0,100,1,2,0,1,1,1,1,1,1,1,1
100,250,1,7,1,1,10,6,0,0,100,2,5,0,1,1,1,1,1,1,1,1
101,80000,2,1,1,7,6,2,3,4,100,2,2,0,1,1,1,1,0,0,0,0
102,300,1,15,1,2,7,2,0,0,100,1,1,0,1,0,1,1,0,0,0,0
103,500000,9,1,3,10,6,2,3,3,75,1,1,0,1,1,1,1,1,1,1,1
104,50000,10,1,4,2,10,6,0,0,100,2,2,0,1,1,1,1,1,1,1,1
105,8000,1,1,2,1,10,6,3,2,100,0,2,0,1,1,1,0,0,0,0,0
106,450,1,1,1,6,10,10,0,1,25,1,1,0,1,1,1,1,0,1,1,0
107,300,1,15,0,1,10,6,0,0,100,0,1,0,1,0,1,0,0,0,0,0
108,50,1,1,1,6,10,10,0,0,50,0,0,0,1,0,1,1,0,1,0,0
109,50,1,1,2,10,10,6,0,0,100,9,5,0,1,1,1,0,0,0,0,0
110,8300,2,1,2,1,10,6,3,3,100,2,2,0,1,1,1,1,0,1,0,0
111,1800,1,1,0,10,1,6,3,2,100,1,2,0,1,1,1,1,1,1,1,1
112,150,2,1,1,1,10,6,0,1,100,0,1,0,1,1,1,1,1,1,1,1
113,500,1,1,3,10,1,6,0,0,75,0,1,0,1,1,1,1,1,1,1,0
114,900,1,1,1,1,10,6,3,2,100,2,2,0,1,1,1,1,1,1,1,0
115,300,1,15,1,10,1,6,0,0,100,1,1,0,1,0,1,1,0,0,0,0
116,300,1,15,1,10,1,6,0,0,100,1,1,0,1,0,1,1,0,0,0,0
117,300,1,15,1,1,10,6,1,0,100,1,1,0,1,0,1,0,0,0,0,0
118,3000,1,1,3,2,10,6,0,1,100,5,5,0,1,1,1,1,0,0,1,0
119,450,1,1,1,10,10,10,3,3,100,5,2,0,1,1,1,0,1,0,1,0
120,300,1,15,1,1,10,6,0,0,100,5,5,0,1,1,0,0,1,0,0,0
121,200,1,5,2,10,6,1,3,0,100,1,1,0,1,1,1,1,0,0,0,0
122,700,1,1,0,10,6,7,3,2,100,1,1,0,1,1,1,1,0,1,1,1
123,300,1,14,1,10,6,2,0,0,100,1,1,0,1,0,1,0,0,0,0,0
124,300,1,12,2,10,10,2,0,0,50,2,5,0,1,0,1,0,0,0,0,0
125,300,1,15,1,10,10,6,0,0,100,0,2,0,1,0,0,0,0,0,0,0
126,300,1,15,1,1,7,6,0,0,100,1,1,0,1,0,0,0,0,1,0,0
127,200,1,1,1,6,10,1,0,0,100,1,1,0,1,1,1,1,1,1,1,1
128,350,1,1,2,10,1,6,0,0,100,1,1,0,1,1,1,1,1,1,1,0
129,300,1,15,1,1,1,1,0,0,100,5,5,0,1,0,0,0,0,0,0,0
130,1000,1,12,1,1,1,10,0,0,100,2,9,0,1,0,1,0,0,0,0,0
131,100,1,1,1,1,7,10,0,0,100,9,9,0,1,0,1,1,1,0,0,0
132,300,1,15,1,1,7,1,0,0,100,2,5,0,1,0,0,0,0,0,0,0
133,6300,3,1,0,7,1,5,0,0,100,2,1,0,1,1,1,1,0,0,0,0
134,3400,2,2,0,6,7,10,0,0,75,1,1,0,1,1,0,0,0,0,1,0
135,2400,2,1,0,2,6,10,3,4,75,1,1,0,1,1,0,0,0,0,0,0
136,115000,5,1,0,10,2,6,3,4,100,0,1,0,1,1,1,0,0,0,0,0
137,40000,4,1,1,10,7,6,3,4,100,1,1,0,1,1,1,1,1,1,0,0
138,300,1,1,0,6,9,2,3,3,50,0,0,0,1,1,1,1,0,1,0,0
139,1500,1,1,0,9,6,6,3,0,25,0,0,0,1,1,0,0,0,0,0,0
140,4000,2,1,0,1,10,6,3,4,100,2,1,0,1,1,1,0,0,0,0,0
141,360000,12,1,1,10,1,7,3,4,100,1,1,0,1,1,1,1,1,1,1,0
142,4100,5,1,1,1,10,2,3,3,100,0,1,0,1,1,1,1,0,1,0,0
143,2300,1,1,1,2,6,10,1,3,100,0,0,0,1,1,1,1,1,1,1,0
144,1500,3,1,1,2,1,10,3,3,100,2,2,0,1,1,1,1,1,1,1,0
145,300,1,1,3,2,1,6,0,0,100,2,1,0,1,1,1,0,0,0,0,0
146,15000,2,1,2,2,1,10,3,3,100,0,1,0,1,1,1,1,0,0,1,0
147,1700,1,1,3,9,6,2,0,0,25,0,0,0,1,1,1,1,0,1,1,0
148,2500,2,1,3,2,6,10,0,0,75,0,0,0,1,1,1,1,1,0,1,0
149,2400,1,1,2,2,10,1,0,1,100,1,1,0,1,1,1,1,0,1,1,0
150,300,1,12,3,2,10,1,0,0,100,1,1,0,1,1,1,1,1,1,0,0
151,2600,2,1,2,9,2,6,3,2,50,0,1,0,1,1,1,1,0,0,0,0
152,600,1,1,4,9,2,10,0,0,50,0,0,0,1,0,1,0,1,0,0,0
153,2000,1,1,3,9,2,6,0,0,50,0,0,0,1,1,1,1,0,0,0,0
154,26000,3,1,1,1,2,10,3,4,100,1,2,0,1,1,1,1,1,1,1,0
155,350,1,1,0,2,1,10,3,3,100,1,1,0,1,1,1,1,1,1,1,0
156,200,1,1,3,2,6,5,0,0,50,1,1,1,2,1,1,1,0,0,0,0
157,2300,1,1,2,1,1,6,0,0,100,2,1,0,1,1,1,1,0,1,1,0
158,300,1,15,1,1,1,6,0,0,100,1,1,2,1,0,1,0,0,0,0,0
159,600,1,5,2,6,6,10,3,2,100,2,2,0,1,1,1,1,1,1,1,0
160,300,1,12,3,1,2,10,0,0,100,1,2,0,1,0,1,0,0,0,0,0
161,1400,1,1,1,1,2,10,0,0,100,5,5,0,1,1,1,1,1,1,1,0
162,3000,1,1,3,2,10,1,0,0,100,5,2,0,1,1,1,1,1,1,1,0
163,300,1,15,1,1,1,10,0,0,100,5,5,0,1,0,1,0,0,0,0,0
164,2300,1,1,1,2,6,10,3,3,50,1,0,0,1,1,1,1,0,1,0,0
165,2600,1,1,2,2,10,6,0,0,50,0,0,0,1,1,1,1,0,1,0,0
166,300,1,14,1,2,7,10,0,0,100,2,0,0,1,0,1,1,1,0,0,0
167,300,1,1,3,6,2,9,0,0,25,0,0,0,1,1,1,1,1,1,0,0
168,22000,1,1,4,6,9,6,0,0,100,0,0,0,1,1,1,1,1,1,0,0
169,300,1,12,3,10,2,1,0,0,100,2,0,0,1,0,1,0,0,0,0,0
170,300,1,12,4,1,10,2,0,0,100,5,5,0,1,0,1,0,0,0,0,0
171,1000,2,1,3,2,6,1,0,0,100,0,1,0,1,1,1,1,1,1,1,1
172,300,1,15,1,1,1,9,0,0,100,0,1,0,1,0,1,0,0,0,0,0
173,300,1,15,1,1,1,10,0,0,100,9,5,0,1,0,1,0,0,0,0,0
174,1100,2,1,3,2,6,6,0,0,100,0,0,0,1,0,1,1,1,1,1,1
175,200,1,1,1,6,6,2,0,0,75,0,0,0,1,0,1,1,1,1,1,1
176,1000,1,1,4,2,1,6,0,0,100,1,1,0,1,1,0,0,0,1,0,0
177,300,1,14,2,2,9,7,0,0,75,0,2,0,1,0,1,0,0,0,0,0
178,1000,1,14,2,7,1,9,0,0,75,1,2,0,1,0,1,0,0,0,0,0
179,1100,1,5,0,2,1,10,3,3,100,5,1,0,2,0,0,0,0,0,0,0
180,2500,1,1,4,2,6,7,0,0,100,5,1,0,1,1,1,1,0,1,1,0
181,4000,2,1,1,4,6,9,3,2,80,1,1,0,1,1,1,1,0,1,1,1
182,200,1,12,3,10,1,6,0,0,100,1,2,0,1,0,1,1,0,0,0,0
183,350,1,1,0,2,6,10,1,3,100,1,1,0,1,1,1,1,0,0,0,0
184,4000,1,12,4,2,6,10,0,0,100,1,1,0,1,0,1,1,0,0,0,0
185,2300,1,12,3,2,2,1,0,0,75,2,1,0,1,0,1,0,0,0,0,0
186,300,1,14,2,7,10,2,0,0,100,5,5,0,1,1,1,1,1,0,1,0
187,500,1,1,4,1,10,2,0,0,100,5,5,0,1,1,1,1,1,0,1,0
188,300,1,12,3,2,1,6,0,0,100,1,0,0,1,0,1,1,0,0,0,0
189,300,1,12,3,2,6,10,0,0,100,1,1,0,1,0,1,1,0,0,0,0
